ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
numlockx 1.2-4
nvidia-utils 1:415.25-1
octopi 0.9.0-5
octopi-cachecleaner 0.9.0-5
octopi-notifier-frameworks 0.9.0-5
octopi-pacmanhelper 0.9.0-5
octopi-repoeditor 0.9.0-5
okular 18.12.0-1
oniguruma 6.9.1-1
openal 1.19.1-1
openconnect 1:7.08-2
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
openvpn 2.4.6-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-2
ostree 2018.9-1
p11-kit 0.23.14-1
p7zip 16.02-5
pacman 5.1.1-3
pacman-mirrors 4.14.0-3
pacutils 0.6.2-3
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
parted 3.2-7
partitionmanager 3.3.1-1
patch 2.7.6-7
patchutils 0.3.4-3
pciutils 3.6.2-1
pcre 8.42-1
pcre2 10.32-1
pcsclite 1.8.24-1
peco 0.5.3-1
peek 1.3.1-3
perl 5.28.1-1
perl-clone 0.41-1
perl-data-dump 1.23-4
perl-dbi 1.642-1
perl-encode-locale 1.05-4
perl-error 0.17027-1
perl-file-basedir 0.08-2
perl-file-desktopentry 0.22-4
perl-file-listing 6.04-5
perl-file-mimeinfo 0.29-1
perl-html-parser 3.72-6
perl-html-tagset 3.20-7
perl-http-cookies 6.04-3
perl-http-daemon 6.01-6
perl-http-date 6.02-5
perl-http-message 6.18-2
perl-http-negotiate 6.01-5
perl-io-html 1.001-4
perl-io-socket-ssl 2.060-1
perl-ipc-system-simple 1.25-4
perl-json 2.97001-1
perl-libwww 6.36-1
perl-log-message 0.08-4
perl-log-message-simple 0.10-4
perl-lwp-mediatypes 6.02-5
perl-lwp-protocol-https 6.07-2
perl-mailtools 2.20-2
perl-net-http 6.18-2
perl-net-ssleay 1.85-2
perl-parse-yapp 1.21-1
perl-term-readline-gnu 1.35-5
perl-term-ui 0.46-4
perl-timedate 2.30-5
perl-try-tiny 0.30-2
perl-uri 1.74-2
perl-www-robotrules 6.02-5
perl-xml-libxml 2.0132-2
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
phonon-qt5 4.10.1-3
phonon-qt5-gstreamer 4.9.0-5
pinentry 1.1.0-4
pipewire 0.2.5-1
pixman 0.36.0-1
pkcs11-helper 1.25.1-1
pkgconf 1.5.4-1
plasma-desktop 5.14.4-2
plasma-framework 5.53.0-1
plasma-integration 5.14.4-2
plasma-nm 5.14.4-1
plasma-pa 5.14.4-1
plasma-workspace 5.14.4-1
plasma-workspace-wallpapers 5.14.4-1
plasma5-themes-breath 0.4.0-1
polkit 0.115+24+g5230646-1
polkit-kde-agent 5.14.4-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.72.0-1
poppler-data 0.4.9-1
poppler-qt5 0.72.0-1
popt 1.16-10
postman-bin 6.6.1-1
powerdevil 5.14.4-1
powertop 2.9-2
ppp 2.4.7-5
pptpclient 1.10.0-1
primus 20151110-8
print-manager 18.12.0-1
prison 5.53.0-1
procps-ng 3.3.15-1.2
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 12.2-2
purpose 5.53.0-1
pygobject-devel 3.30.4-1
pyqt5-common 5.11.3-2
python 3.7.1-1
python-appdirs 1.4.3-2
python-cachecontrol 0.12.5-4
python-cached-property 1.5.1-1
python-cairo 1.18.0-1
python-chardet 3.0.4-2
python-colorama 0.4.1-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distlib 0.2.8-1
python-distro 1.3.0-2
python-docker 3.6.0-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-3
python-docopt 0.6.2-5
python-gobject 3.30.4-1
